0.25	0.202576867	0.673366691	0.251190067	0.702377482
0.75	0.328755432	0.825573528	0.413063385	0.870565638
1.25	0.46680928	0.888687222	0.559293755	0.976141531
1.75	0.609359276	0.93303818	0.761081867	1.027711836
2.25	0.693816209	0.93579972	0.836757148	1.063464168
2.75	0.692709955	0.896956919	0.863660683	1.075454365
3.25	0.610507457	0.816314853	0.755303129	0.924578673
3.75	0.489747357	0.760804569	0.623219949	0.882081198
4.25	0.370903764	0.714861807	0.476055671	0.884233135
4.75	0.298164417	0.660757358	0.359203815	0.730427591
5.5	0.218606164	0.609406646	0.259772376	0.687843635
6.5	0.161967163	0.583649191	0.186524851	0.500974854
7.5	0.146583852	0.571939123	0.134253582	0.549597788
10	0.137151714	0.533106941	0.129410094	0.412073677
14	0.150029458	0.571317252	0.166000558	0.490820016
18	0.128306455	0.580419798	0.082766644	0.426158328
